lethargy,vomiting,diarrhea,loss_of_appetite,coughing,sneezing,nasal_discharge,limping,scratching,ear_discharge,eye_discharge,swelling,seizure,fever,excessive_thirst,weight_loss,weight_gain,bad_breath,skin_redness,age_months,duration_days,illness,severity
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,161,883,osteoarthritis,moderate
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,115,5,conjunctivitis,mild
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106,234,osteoarthritis,moderate
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,77,153,environmental_allergies,mild
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55,867,dental_disease,mild
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,136,887,hypothyroidism,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,gastroenteritis,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,114,anxiety_behavioral,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,51,9,urinary_tract_infection,moderate
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,45,334,obesity_related_strain,mild
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,10,kennel_cough,mild
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,173,413,osteoarthritis,moderate
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,187,1,heatstroke,emergency
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,149,625,hypothyroidism,moderate
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,173,301,osteoarthritis,moderate
1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,128,1,heatstroke,emergency
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,85,93,environmental_allergies,mild
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,465,hip_dysplasia,moderate
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,44,17,tick_borne_disease,severe
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,185,623,dental_disease,mild
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149,12,ear_infection,mild
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19,5,kennel_cough,mild
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,138,3,urinary_tract_infection,moderate
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,104,3,urinary_tract_infection,moderate
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,parvovirus,emergency
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,parvovirus,emergency
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,36,intestinal_parasites,moderate
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,gastroenteritis,moderate
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,gastroenteritis,moderate
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141,2,kennel_cough,mild
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,114,9,conjunctivitis,mild
